date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:05	109968/109968	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Jan%202023%2001:17:07%20GMT	https://saudeprimeiro.org/coquetel-espanhol/	C:/Users/convidad0/Desktop/coquetel-espanol/saudeprimeiro.org/coquetel-espanhol/index.html	(from )
22:21:05	69/69	---M-Z	200	added ('OK')	text/plain	date:Mon,%2009%20Jan%202023%2001:17:07%20GMT	https://saudeprimeiro.org/robots.txt		(from )
22:21:05	94889/94889	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Nov%202022%2022:37:05%20GMT	https://saudeprimeiro.org/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/Users/convidad0/Desktop/coquetel-espanol/saudeprimeiro.org/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://saudeprimeiro.org/coquetel-espanhol/)
22:21:05	217/217	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202022%2022:15:16%20GMT	https://saudeprimeiro.org/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/convidad0/Desktop/coquetel-espanol/saudeprimeiro.org/wp-includes/css/classic-themes.min68b3.css	(from https://saudeprimeiro.org/coquetel-espanhol/)
22:21:05	156235/156235	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2006:21:16%20GMT	https://saudeprimeiro.org/wp-content/themes/twentytwentyone/style.css?ver=1.7	C:/Users/convidad0/Desktop/coquetel-espanol/saudeprimeiro.org/wp-content/themes/twentytwentyone/style97e1.css	(from https://saudeprimeiro.org/coquetel-espanhol/)
22:21:06	2897/2897	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20May%202022%2022:23:54%20GMT	https://saudeprimeiro.org/wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.7	C:/Users/convidad0/Desktop/coquetel-espanol/saudeprimeiro.org/wp-content/themes/twentytwentyone/assets/css/print97e1.css	(from https://saudeprimeiro.org/coquetel-espanhol/)
22:21:06	19279/19279	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Nov%202022%2023:44:34%20GMT	https://saudeprimeiro.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	C:/Users/convidad0/Desktop/coquetel-espanol/saudeprimeiro.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from https://saudeprimeiro.org/coquetel-espanhol/)
22:21:06	103736/103736	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Nov%202022%2023:44:34%20GMT	https://saudeprimeiro.org/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.8.0	C:/Users/convidad0/Desktop/coquetel-espanol/saudeprimeiro.org/wp-content/plugins/elementor/assets/css/frontend-lite.min9e95.css	(from https://saudeprimeiro.org/coquetel-espanhol/)
22:21:06	1099/1099	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Nov%202022%2023:45:03%20GMT	https://saudeprimeiro.org/wp-content/uploads/elementor/css/post-5.css?ver=1667951103	C:/Users/convidad0/Desktop/coquetel-espanol/saudeprimeiro.org/wp-content/uploads/elementor/css/post-573b5.css	(from https://saudeprimeiro.org/coquetel-espanhol/)
22:21:07	9475/9475	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Nov%202022%2000:34:59%20GMT	https://saudeprimeiro.org/wp-content/uploads/elementor/css/global.css?ver=1667954099	C:/Users/convidad0/Desktop/coquetel-espanol/saudeprimeiro.org/wp-content/uploads/elementor/css/global2937.css	(from https://saudeprimeiro.org/coquetel-espanhol/)
22:21:07	16987/16987	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202023%2001:15:42%20GMT	https://saudeprimeiro.org/wp-content/uploads/elementor/css/post-190.css?ver=1673226942	C:/Users/convidad0/Desktop/coquetel-espanol/saudeprimeiro.org/wp-content/uploads/elementor/css/post-190a7f7.css	(from https://saudeprimeiro.org/coquetel-espanhol/)
22:21:08	2522/2522	---MCZ	200	added ('OK')	application/javascript	etag:W/%229e8eefeff9219d5ccd8ddcfe2f0695b4%22	https://scripts.converteai.net/799710b8-6f84-4221-b650-ce0417f3dd50/players/637e392606deba000b064884/player.js	C:/Users/convidad0/Desktop/coquetel-espanol/scripts.converteai.net/799710b8-6f84-4221-b650-ce0417f3dd50/players/637e392606deba000b064884/player.js	(from https://saudeprimeiro.org/coquetel-espanhol/)
